"Novads","Statuss","DzNor","DzDekl","DzReg","NavSpeka","Kopa"
"DAUGAVPILS","LATVIJAS PILSONIS",24,71524,1,1372,72921
"DAUGAVPILS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"DAUGAVPILS","LATVIJAS NEPILSONIS",6,13299,0,401,13706
"DAUGAVPILS","LATVIJAS BĒGLIS",0,0,0,0,0
"DAUGAVPILS","LATVIJAS BEZVALSTNIEKS",0,5,0,0,5
"DAUGAVPILS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"DAUGAVPILS","PĀRĒJIE",5,6084,2,53,6144
"JELGAVA","LATVIJAS PILSONIS",14,50183,0,1154,51351
"JELGAVA","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"JELGAVA","LATVIJAS NEPILSONIS",6,7320,1,494,7821
"JELGAVA","LATVIJAS BĒGLIS",0,2,0,0,2
"JELGAVA","LATVIJAS BEZVALSTNIEKS",0,2,0,1,3
"JELGAVA","LATVIJAS ALTERNATĪVAIS",0,6,0,0,6
"JELGAVA","PĀRĒJIE",2,1923,0,54,1979
"JĒKABPILS","LATVIJAS PILSONIS",4,20100,157,618,20879
"JĒKABPILS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"JĒKABPILS","LATVIJAS NEPILSONIS",3,2149,1,122,2275
"JĒKABPILS","LATVIJAS BĒGLIS",0,0,0,0,0
"JĒKABPILS","LATVIJAS BEZVALSTNIEKS",0,2,0,0,2
"JĒKABPILS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"JĒKABPILS","PĀRĒJIE",0,430,1,13,444
"JŪRMALA","LATVIJAS PILSONIS",18,42623,1,920,43562
"JŪRMALA","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"JŪRMALA","LATVIJAS NEPILSONIS",1,7286,0,455,7742
"JŪRMALA","LATVIJAS BĒGLIS",0,6,0,0,6
"JŪRMALA","LATVIJAS BEZVALSTNIEKS",0,5,0,0,5
"JŪRMALA","LATVIJAS ALTERNATĪVAIS",0,5,0,0,5
"JŪRMALA","PĀRĒJIE",7,5633,0,84,5724
"LIEPĀJA","LATVIJAS PILSONIS",8,58097,12,1348,59465
"LIEPĀJA","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
