"Novads","Statuss","DzNor","DzDekl","DzReg","NavSpeka","Kopa"
"DAUGAVPILS","LATVIJAS PILSONIS",24,71524,1,1372,72921
"DAUGAVPILS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"DAUGAVPILS","LATVIJAS NEPILSONIS",6,13299,0,401,13706
"DAUGAVPILS","LATVIJAS BEGLIS",0,0,0,0,0
"DAUGAVPILS","LATVIJAS BEZVALSTNIEKS",0,5,0,0,5
"DAUGAVPILS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"DAUGAVPILS","PAREJIE",5,6084,2,53,6144
"JELGAVA","LATVIJAS PILSONIS",14,50183,0,1154,51351
"JELGAVA","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"JELGAVA","LATVIJAS NEPILSONIS",6,7320,1,494,7821
"JELGAVA","LATVIJAS BEGLIS",0,2,0,0,2
"JELGAVA","LATVIJAS BEZVALSTNIEKS",0,2,0,1,3
"JELGAVA","LATVIJAS ALTERNATIVAIS",0,6,0,0,6
"JELGAVA","PAREJIE",2,1923,0,54,1979
"JEKABPILS","LATVIJAS PILSONIS",4,20100,157,618,20879
"JEKABPILS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"JEKABPILS","LATVIJAS NEPILSONIS",3,2149,1,122,2275
"JEKABPILS","LATVIJAS BEGLIS",0,0,0,0,0
"JEKABPILS","LATVIJAS BEZVALSTNIEKS",0,2,0,0,2
"JEKABPILS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"JEKABPILS","PAREJIE",0,430,1,13,444
"JURMALA","LATVIJAS PILSONIS",18,42623,1,920,43562
"JURMALA","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"JURMALA","LATVIJAS NEPILSONIS",1,7286,0,455,7742
"JURMALA","LATVIJAS BEGLIS",0,6,0,0,6
"JURMALA","LATVIJAS BEZVALSTNIEKS",0,5,0,0,5
"JURMALA","LATVIJAS ALTERNATIVAIS",0,5,0,0,5
"JURMALA","PAREJIE",7,5633,0,84,5724
"LIEPAJA","LATVIJAS PILSONIS",8,58097,12,1348,59465
"LIEPAJA","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"LIEPAJA","LATVIJAS NEPILSONIS",5,10658,1,740,11404
"LIEPAJA","LATVIJAS BEGLIS",0,1,0,0,1
"LIEPAJA","LATVIJAS BEZVALSTNIEKS",0,8,0,0,8
"LIEPAJA","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"LIEPAJA","PAREJIE",18,5648,3,57,5726
"REZEKNE","LATVIJAS PILSONIS",2,27813,0,522,28337
"REZEKNE","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"REZEKNE","LATVIJAS NEPILSONIS",0,1599,0,57,1656
"REZEKNE","LATVIJAS BEGLIS",0,0,0,0,0
"REZEKNE","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"REZEKNE","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"REZEKNE","PAREJIE",2,675,0,35,712
"RIGA","LATVIJAS PILSONIS",167,517940,355,11398,529860
"RIGA","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"RIGA","LATVIJAS NEPILSONIS",26,113733,228,6576,120563
"RIGA","LATVIJAS BEGLIS",2,62,0,17,81
"RIGA","LATVIJAS BEZVALSTNIEKS",0,93,0,4,97
"RIGA","LATVIJAS ALTERNATIVAIS",0,90,0,30,120
"RIGA","PAREJIE",166,48543,15,1619,50343
"VALMIERA","LATVIJAS PILSONIS",0,23119,40,353,23512
"VALMIERA","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"VALMIERA","LATVIJAS NEPILSONIS",0,1127,3,43,1173
"VALMIERA","LATVIJAS BEGLIS",0,0,0,0,0
"VALMIERA","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"VALMIERA","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"VALMIERA","PAREJIE",0,166,0,5,171
"VENTSPILS","LATVIJAS PILSONIS",3,29596,0,604,30203
"VENTSPILS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"VENTSPILS","LATVIJAS NEPILSONIS",0,5668,0,259,5927
"VENTSPILS","LATVIJAS BEGLIS",0,2,0,0,2
"VENTSPILS","LATVIJAS BEZVALSTNIEKS",0,5,0,0,5
"VENTSPILS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"VENTSPILS","PAREJIE",1,2385,0,39,2425
"AGLONAS NOVADS","LATVIJAS PILSONIS",1,3323,0,32,3356
"AGLONAS NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"AGLONAS NOVADS","LATVIJAS NEPILSONIS",1,189,0,2,192
"AGLONAS NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"AGLONAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"AGLONAS NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"AGLONAS NOVADS","PAREJIE",0,41,0,0,41
"AIZKRAUKLES NOVADS","LATVIJAS PILSONIS",0,7669,1,137,7807
"AIZKRAUKLES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"AIZKRAUKLES NOVADS","LATVIJAS NEPILSONIS",0,762,0,20,782
"AIZKRAUKLES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"AIZKRAUKLES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"AIZKRAUKLES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"AIZKRAUKLES NOVADS","PAREJIE",0,94,0,3,97
"AIZPUTES NOVADS","LATVIJAS PILSONIS",0,8590,1,85,8676
"AIZPUTES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"AIZPUTES NOVADS","LATVIJAS NEPILSONIS",0,211,0,6,217
"AIZPUTES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"AIZPUTES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"AIZPUTES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
"AIZPUTES NOVADS","PAREJIE",0,32,0,4,36
"AKNISTES NOVADS","LATVIJAS PILSONIS",0,2501,1,11,2513
"AKNISTES NOVADS","LATVIJAS PAGAIDU AIZSARDZIBA",0,0,0,0,0
"AKNISTES NOVADS","LATVIJAS NEPILSONIS",0,194,0,1,195
"AKNISTES NOVADS","LATVIJAS BEGLIS",0,0,0,0,0
"AKNISTES NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"AKNISTES NOVADS","LATVIJAS ALTERNATIVAIS",0,0,0,0,0
