"Krajums","Pamatforma","Pamatkrasa","Vardforma","Locijums","Piemers"
"TNZV","melns","black","melnā ","FDSN ","Bet {\bf melnā} čūska maļ jūrā miltus,\textbackslash{} Tos jāēd būs tiem, kam vara un viltus\\ "
"TNZV","melns","black","melns ","MISN ","Pār zemi pārlaidās pāri\textbackslash{} {\bf Melns} mākonis valguma\\"
"TNZV","melns","black","melni ","MIPN ","Un gaisā celsies {\bf melni} putekļi\textbackslash{}No izžuvušā asins plūduma\\"
"TNZV","melns","black","melnus ","MIPA ","Pa klajiem laukiem aukas kauc,\textbackslash{} Pie debesīm {\bf melnus} mākoņus jauc\\"
"TNZV","melns","black","melnos ","MIPL ","Gan {\bf melnos} dumbros\textbackslash{} Jūs skriesat līst\textbackslash{} Pret jums tie balti,\textbackslash{} Jūs neatzīst\\"
"TNZV","melns","black","melnais ","MDSN ","Sēd tā zelta krēslā,\textbackslash{} Acis drūmi kvēlo,\textbackslash Sēd un vērpj; tai {\bf melnais} suns pie kājām\\"
"TNZV","melns","black","melnais ","MDSN ","{\bf Melnais} suns pa laikam\textbackslash{} Norūc, paceļ galvu,\textbackslash{} Tālu augšā juzdams asins smaku\\ "
"TNZV","balts","white","balta ","FISN ","Un mīļā dzimtene guļ manā priekšā \textbackslash{} Kā plaši izplatīta {\bf balta} sega\\"
"TNZV","balts","white","balta ","FISN ","Tur {\bf balta} laime man liekas, \textbackslash{} Tur tu, tur nogrimst dairs\\"
"TNZV","balts","white","balta","FISN","Gars brīvus spārnus dzidrē cilā liegi;\textbackslash{} Tik {\bf balta} dvēsle mirdz kā kalnu sniegi\\"
"TNZV","balts","white","baltā","FISL","Tā staro klusi un pastāvīgi\textbackslash{} {\bf Baltā} vienkrāsas gaismā\\"
"TNZV","balts","white","baltas","FIPN","Lai {\bf baltas} viņām rokas\textbackslash{} Un tīnes no pilnības tūkst\\"
"TNZV","balts","white","baltas","FIPN","Zaļoši tīrumi,\textbackslash{}Puķotas pļavas:\textbackslash{} Zib {\bf baltas} kājiņas,\textbackslash{} Sīk-žigli tekot\\"
"TNZV","balts","white","baltās","FDSG","Zem {\bf baltās} segas svaigi kapi - - -\textbackslash{} No svaigiem kapiem svaigas asins kūp\\"
