Location,Category,Pointing,Declaring,Registering,RegistrationNotValid,Total
DAUGAVPILS,Preschool.All,142,6114,1,14,6271
DAUGAVPILS,Preschool.Males,81,3184,1,7,3273
DAUGAVPILS,Preschool.Females,61,2930,0,7,2998
DAUGAVPILS,School.All,49,9100,0,120,9269
DAUGAVPILS,School.Males,25,4631,0,59,4715
DAUGAVPILS,School.Females,24,4469,0,61,4554
DAUGAVPILS,Children.All,191,15214,1,134,15540
JELGAVA,Preschool.All,68,4924,0,27,5019
JELGAVA,Preschool.Males,34,2505,0,19,2558
JELGAVA,Preschool.Females,34,2419,0,8,2461
JELGAVA,School.All,13,6591,0,155,6759
JELGAVA,School.Males,4,3273,0,79,3356
JELGAVA,School.Females,9,3318,0,76,3403
JELGAVA,Children.All,81,11515,0,182,11778
JĒKABPILS,Preschool.All,40,1538,6,17,1601
JĒKABPILS,Preschool.Males,20,793,1,8,822
JĒKABPILS,Preschool.Females,20,745,5,9,779
JĒKABPILS,School.All,1,2445,193,110,2749
JĒKABPILS,School.Males,0,1213,101,62,1376
JĒKABPILS,School.Females,1,1232,92,48,1373
JĒKABPILS,Children.All,41,3983,199,127,4350
JŪRMALA,Preschool.All,108,3749,0,20,3877
JŪRMALA,Preschool.Males,56,1955,0,16,2027
JŪRMALA,Preschool.Females,52,1794,0,4,1850
JŪRMALA,School.All,45,5698,0,92,5835
JŪRMALA,School.Males,22,2945,0,49,3016
JŪRMALA,School.Females,23,2753,0,43,2819
JŪRMALA,Children.All,153,9447,0,112,9712
LIEPĀJA,Preschool.All,68,5597,7,54,5726
LIEPĀJA,Preschool.Males,42,2867,2,24,2935
LIEPĀJA,Preschool.Females,26,2730,5,30,2791
LIEPĀJA,School.All,33,8421,2,203,8659
LIEPĀJA,School.Males,19,4298,2,101,4420
LIEPĀJA,School.Females,14,4123,0,102,4239
LIEPĀJA,Children.All,101,14018,9,257,14385
RĒZEKNE,Preschool.All,35,1919,0,10,1964
RĒZEKNE,Preschool.Males,15,991,0,7,1013
RĒZEKNE,Preschool.Females,20,928,0,3,951
RĒZEKNE,School.All,21,3215,0,43,3279
RĒZEKNE,School.Males,10,1671,0,18,1699
RĒZEKNE,School.Females,11,1544,0,25,1580
RĒZEKNE,Children.All,56,5134,0,53,5243
RĪGA,Preschool.All,2664,47748,12,220,50644
RĪGA,Preschool.Males,1353,24444,7,116,25920
RĪGA,Preschool.Females,1311,23304,5,104,24724
RĪGA,School.All,759,61871,21,952,63603
RĪGA,School.Males,380,31758,11,515,32664
RĪGA,School.Females,379,30113,10,437,30939
RĪGA,Children.All,3423,109619,33,1172,114247
VALMIERA,Preschool.All,18,1873,0,24,1915
VALMIERA,Preschool.Males,9,973,0,12,994
VALMIERA,Preschool.Females,9,900,0,12,921
VALMIERA,School.All,6,2505,24,52,2587
VALMIERA,School.Males,3,1274,8,26,1311
VALMIERA,School.Females,3,1231,16,26,1276
VALMIERA,Children.All,24,4378,24,76,4502
VENTSPILS,Preschool.All,107,2492,0,23,2622
VENTSPILS,Preschool.Males,59,1283,0,8,1350
VENTSPILS,Preschool.Females,48,1209,0,15,1272
VENTSPILS,School.All,26,3972,0,83,4081
VENTSPILS,School.Males,19,1955,0,43,2017
VENTSPILS,School.Females,7,2017,0,40,2064
VENTSPILS,Children.All,133,6464,0,106,6703
AGLONAS NOVADS,Preschool.All,11,194,0,3,208
AGLONAS NOVADS,Preschool.Males,4,98,0,2,104
AGLONAS NOVADS,Preschool.Females,7,96,0,1,104
AGLONAS NOVADS,School.All,4,386,0,1,391
AGLONAS NOVADS,School.Males,3,194,0,0,197
AGLONAS NOVADS,School.Females,1,192,0,1,194
AGLONAS NOVADS,Children.All,15,580,0,4,599
AIZKRAUKLES NOVADS,Preschool.All,26,520,0,4,550
AIZKRAUKLES NOVADS,Preschool.Males,16,291,0,1,308
AIZKRAUKLES NOVADS,Preschool.Females,10,229,0,3,242
AIZKRAUKLES NOVADS,School.All,15,883,1,9,908
AIZKRAUKLES NOVADS,School.Males,6,467,0,5,478
AIZKRAUKLES NOVADS,School.Females,9,416,1,4,430
AIZKRAUKLES NOVADS,Children.All,41,1403,1,13,1458
AIZPUTES NOVADS,Preschool.All,9,600,0,1,610
AIZPUTES NOVADS,Preschool.Males,5,309,0,1,315
AIZPUTES NOVADS,Preschool.Females,4,291,0,0,295
AIZPUTES NOVADS,School.All,11,1080,1,9,1101
AIZPUTES NOVADS,School.Males,3,576,0,6,585
AIZPUTES NOVADS,School.Females,8,504,1,3,516
AIZPUTES NOVADS,Children.All,20,1680,1,10,1711
AKNĪSTES NOVADS,Preschool.All,2,145,0,0,147
AKNĪSTES NOVADS,Preschool.Males,0,80,0,0,80
AKNĪSTES NOVADS,Preschool.Females,2,65,0,0,67
AKNĪSTES NOVADS,School.All,0,256,1,0,257
AKNĪSTES NOVADS,School.Males,0,129,0,0,129
AKNĪSTES NOVADS,School.Females,0,127,1,0,128
AKNĪSTES NOVADS,Children.All,2,401,1,0,404
ALOJAS NOVADS,Preschool.All,17,319,0,0,336
ALOJAS NOVADS,Preschool.Males,13,169,0,0,182
ALOJAS NOVADS,Preschool.Females,4,150,0,0,154
