"Reģions","Dzimums","Valoda","Visi vecumi","0–4","5–9","10–14","15–19","20–24","25–29","30–34","35–39","40–44","45–49","50–54","55–59","60–64","65–69","70–74","75–79","80–84","85–89","90+"
"Latvija","abi","Visas",2070371,107402,96974,89774,120371,154894,147978,134532,142546,141290,148015,153017,132702,120420,105179,109228,76721,55969,25851,7508
"Latvija","abi","Latviešu",1164894,66937,59591,56834,79840,91813,81174,72398,78693,78244,77630,76863,64868,58235,65522,60309,44985,31744,14699,4515
"Latvija","abi","Krievu",698757,29531,27205,24428,30591,46826,47111,44334,46894,47202,54278,60452,55490,52072,32239,41769,26859,20236,8971,2269
"Latvija","abi","Baltkrievu",637,13,11,11,8,26,25,28,28,20,39,49,32,33,42,91,84,61,27,9
"Latvija","abi","Ukraiņu",1664,31,22,32,45,86,95,78,59,79,190,252,187,162,99,117,49,49,21,11
"Latvija","abi","Poļu",1774,31,29,29,66,81,79,63,74,88,121,115,87,116,164,177,189,137,100,28
"Latvija","abi","Lietuviešu",2164,52,36,52,73,111,98,93,124,133,165,172,128,149,165,198,194,139,59,23
"Latvija","abi","Cita valoda",6922,485,491,432,464,554,694,572,518,582,505,458,343,300,185,168,87,54,22,8
"Latvija","abi","Nav norādīts",193559,10322,9589,7956,9284,15397,18702,16966,16156,14942,15087,14656,11567,9353,6763,6399,4274,3549,1952,645
"Latvija","vīrieši","Visas",946102,54782,49678,46046,61489,79049,75450,67721,70605,68615,70396,70769,58493,50029,40326,38253,23560,14716,4760,1365
"Latvija","vīrieši","Latviešu",529064,34162,30502,29055,40774,46577,40857,35545,37952,37329,36566,35369,28622,23926,24822,21061,13958,8413,2769,805
"Latvija","vīrieši","Krievu",315346,14986,13994,12640,15848,24442,24366,22665,23452,22658,25400,27409,23816,21400,12334,14521,8053,5319,1601,442
"Latvija","vīrieši","Baltkrievu",248,6,7,7,3,16,14,16,15,12,20,22,11,13,17,23,23,18,5,0
"Latvija","vīrieši","Ukraiņu",781,13,9,14,22,52,57,38,34,31,84,122,105,69,56,34,21,17,1,2
"Latvija","vīrieši","Poļu",634,14,10,15,37,53,34,34,34,51,49,48,33,34,47,40,50,27,22,2
"Latvija","vīrieši","Lietuviešu",968,32,25,26,38,65,53,41,66,67,83,85,57,70,50,85,67,41,12,5
"Latvija","vīrieši","Cita valoda",3518,269,234,238,268,278,324,276,269,298,247,244,178,164,87,88,34,13,8,1
"Latvija","vīrieši","Nav norādīts",95543,5300,4897,4051,4499,7566,9745,9106,8783,8169,7947,7470,5671,4353,2913,2401,1354,868,342,108
"Latvija","sievietes","Visas",1124269,52620,47296,43728,58882,75845,72528,66811,71941,72675,77619,82248,74209,70391,64853,70975,53161,41253,21091,6143
"Latvija","sievietes","Latviešu",635830,32775,29089,27779,39066,45236,40317,36853,40741,40915,41064,41494,36246,34309,40700,39248,31027,23331,11930,3710
"Latvija","sievietes","Krievu",383411,14545,13211,11788,14743,22384,22745,21669,23442,24544,28878,33043,31674,30672,19905,27248,18806,14917,7370,1827
"Latvija","sievietes","Baltkrievu",389,7,4,4,5,10,11,12,13,8,19,27,21,20,25,68,61,43,22,9
"Latvija","sievietes","Ukraiņu",883,18,13,18,23,34,38,40,25,48,106,130,82,93,43,83,28,32,20,9
"Latvija","sievietes","Poļu",1140,17,19,14,29,28,45,29,40,37,72,67,54,82,117,137,139,110,78,26
"Latvija","sievietes","Lietuviešu",1196,20,11,26,35,46,45,52,58,66,82,87,71,79,115,113,127,98,47,18
"Latvija","sievietes","Cita valoda",3404,216,257,194,196,276,370,296,249,284,258,214,165,136,98,80,53,41,14,7
"Latvija","sievietes","Nav norādīts",98016,5022,4692,3905,4785,7831,8957,7860,7373,6773,7140,7186,5896,5000,3850,3998,2920,2681,1610,537
"Rīgas reģions","abi","Visas",658640,34265,28190,23015,29953,49356,55075,48396,46522,43190,45923,48740,43473,40151,31006,35883,24405,19530,9073,2494
"Rīgas reģions","abi","Latviešu",254188,16177,12099,9671,13645,21676,23427,19630,18602,16178,15010,14515,12427,11547,14259,13269,10053,7534,3485,984
"Rīgas reģions","abi","Krievu",326478,14104,12454,10564,13321,22717,24478,21869,21362,20998,24627,28001,25855,24250,13741,19525,12412,10320,4670,1210
"Rīgas reģions","abi","Baltkrievu",227,5,5,6,6,13,17,14,10,10,14,25,15,14,8,25,17,17,5,1
"Rīgas reģions","abi","Ukraiņu",702,14,12,15,16,38,44,35,28,34,73,104,57,72,38,56,25,21,14,6
"Rīgas reģions","abi","Poļu",496,11,9,11,23,24,31,18,26,31,32,36,30,35,46,30,41,22,30,10
"Rīgas reģions","abi","Lietuviešu",563,12,14,15,21,47,38,32,31,43,43,39,33,29,37,40,42,29,12,6
"Rīgas reģions","abi","Cita valoda",2477,131,141,93,134,244,306,230,198,218,201,181,124,107,58,59,23,13,12,4
"Rīgas reģions","abi","Nav norādīts",73509,3811,3456,2640,2787,4597,6734,6568,6265,5678,5923,5839,4932,4097,2819,2879,1792,1574,845,273
"Rīgas reģions","vīrieši","Visas",290117,17510,14473,11867,15097,24020,26981,23732,22575,20038,20801,21185,18004,15694,11103,12172,7363,5301,1715,486
"Rīgas reģions","vīrieši","Latviešu",108859,8223,6242,4962,6733,10091,11016,9197,8598,7256,6537,5965,4831,4119,4832,4315,3047,2033,688,174
"Rīgas reģions","vīrieši","Krievu",143979,7218,6378,5478,6894,11504,12358,10963,10485,9570,11095,12179,10761,9662,5055,6724,3717,2821,862,255
"Rīgas reģions","vīrieši","Baltkrievu",100,3,4,3,3,7,9,9,4,5,8,11,6,5,4,8,7,4,0,0
"Rīgas reģions","vīrieši","Ukraiņu",313,5,6,5,7,23,26,15,15,15,32,51,35,24,21,15,11,7,0,0
"Rīgas reģions","vīrieši","Poļu",196,4,5,3,13,15,19,12,11,22,10,15,10,12,12,8,14,3,7,1
"Rīgas reģions","vīrieši","Lietuviešu",250,6,9,9,10,29,20,13,11,25,22,21,11,11,8,16,15,10,2,2
"Rīgas reģions","vīrieši","Cita valoda",1312,68,67,48,76,131,147,124,112,119,100,98,73,63,34,31,10,6,4,1
"Rīgas reģions","vīrieši","Nav norādīts",35108,1983,1762,1359,1361,2220,3386,3399,3339,3026,2997,2845,2277,1798,1137,1055,542,417,152,53
"Rīgas reģions","sievietes","Visas",368523,16755,13717,11148,14856,25336,28094,24664,23947,23152,25122,27555,25469,24457,19903,23711,17042,14229,7358,2008
"Rīgas reģions","sievietes","Latviešu",145329,7954,5857,4709,6912,11585,12411,10433,10004,8922,8473,8550,7596,7428,9427,8954,7006,5501,2797,810
"Rīgas reģions","sievietes","Krievu",182499,6886,6076,5086,6427,11213,12120,10906,10877,11428,13532,15822,15094,14588,8686,12801,8695,7499,3808,955
"Rīgas reģions","sievietes","Baltkrievu",127,2,1,3,3,6,8,5,6,5,6,14,9,9,4,17,10,13,5,1
"Rīgas reģions","sievietes","Ukraiņu",389,9,6,10,9,15,18,20,13,19,41,53,22,48,17,41,14,14,14,6
"Rīgas reģions","sievietes","Poļu",300,7,4,8,10,9,12,6,15,9,22,21,20,23,34,22,27,19,23,9
"Rīgas reģions","sievietes","Lietuviešu",313,6,5,6,11,18,18,19,20,18,21,18,22,18,29,24,27,19,10,4
"Rīgas reģions","sievietes","Cita valoda",1165,63,74,45,58,113,159,106,86,99,101,83,51,44,24,28,13,7,8,3
"Rīgas reģions","sievietes","Nav norādīts",38401,1828,1694,1281,1426,2377,3348,3169,2926,2652,2926,2994,2655,2299,1682,1824,1250,1157,693,220
