Classifier,AsciiName,UpperName,FullName,Grob,GrobOffset
0010000,Riga,RIGA,Rīga,GRID.pathgrob.89,75
0050000,Daugavpils,DAUGAVPILS,Daugavpils,GRID.pathgrob.125,111
0090000,Jelgava,JELGAVA,Jelgava,GRID.pathgrob.127,113
0110000,Jekabpils,JEKABPILS,Jēkabpils,GRID.pathgrob.131,117
0130000,Jurmala,JURMALA,Jūrmala,GRID.pathgrob.123,109
0170000,Liepaja,LIEPAJA,Liepāja,GRID.pathgrob.126,112
0210000,Rezekne,REZEKNE,Rēzekne,GRID.pathgrob.133,119
0250000,Valmiera,VALMIERA,Valmiera,GRID.pathgrob.132,118
0270000,Ventspils,VENTSPILS,Ventspils,GRID.pathgrob.128,114
0320200,Aizkraukles novads,AIZKRAUKLES NOVADS,Aizkraukles novads,GRID.pathgrob.122,108
0321000,Jaunjelgavas novads,JAUNJELGAVAS NOVADS,Jaunjelgavas novads,GRID.pathgrob.41,27
0321400,Plavinu novads,PLAVINU NOVADS,Pļaviņu novads,GRID.pathgrob.72,58
0326100,Kokneses novads,KOKNESES NOVADS,Kokneses novads,GRID.pathgrob.75,61
0327100,Neretas novads,NERETAS NOVADS,Neretas novads,GRID.pathgrob.48,34
0328200,Skriveru novads,SKRIVERU NOVADS,Skrīveru novads,GRID.pathgrob.120,106
0360200,Aluksnes novads,ALUKSNES NOVADS,Alūksnes novads,GRID.pathgrob.22,8
0360800,Apes novads,APES NOVADS,Apes novads,GRID.pathgrob.55,41
0380200,Balvu novads,BALVU NOVADS,Balvu novads,GRID.pathgrob.28,14
0381600,Vilakas novads,VILAKAS NOVADS,Viļakas novads,GRID.pathgrob.46,32
0384400,Baltinavas novads,BALTINAVAS NOVADS,Baltinavas novads,GRID.pathgrob.110,96
0387500,Rugaju novads,RUGAJU NOVADS,Rugāju novads,GRID.pathgrob.60,46
0400200,Bauskas novads,BAUSKAS NOVADS,Bauskas novads,GRID.pathgrob.38,24
0406400,Iecavas novads,IECAVAS NOVADS,Iecavas novads,GRID.pathgrob.84,70
0407700,Rundales novads,RUNDALES NOVADS,Rundāles novads,GRID.pathgrob.101,87
0409500,Vecumnieku novads,VECUMNIEKU NOVADS,Vecumnieku novads,GRID.pathgrob.36,22
0420200,Cesu novads,CESU NOVADS,Cēsu novads,GRID.pathgrob.112,98
0421200,Ligatnes novads,LIGATNES NOVADS,Līgatnes novads,GRID.pathgrob.113,99
0424701,Amatas novads,AMATAS NOVADS,Amatas novads,GRID.pathgrob.39,25
0425700,Jaunpiebalgas novads,JAUNPIEBALGAS NOVADS,Jaunpiebalgas novads,GRID.pathgrob.99,85
0427300,Priekulu novads,PRIEKULU NOVADS,Priekuļu novads,GRID.pathgrob.88,74
0427500,Pargaujas novads,PARGAUJAS NOVADS,Pārgaujas novads,GRID.pathgrob.66,52
0427700,Raunas novads,RAUNAS NOVADS,Raunas novads,GRID.pathgrob.87,73
0429300,Vecpiebalgas novads,VECPIEBALGAS NOVADS,Vecpiebalgas novads,GRID.pathgrob.56,42
0440200,Daugavpils novads,DAUGAVPILS NOVADS,Daugavpils novads,GRID.pathgrob.18,4
0440801,Ilukstes novads,ILUKSTES NOVADS,Ilūkstes novads,GRID.pathgrob.45,31
0460200,Dobeles novads,DOBELES NOVADS,Dobeles novads,GRID.pathgrob.35,21
0460800,Auces novads,AUCES NOVADS,Auces novads,GRID.pathgrob.59,45
0468900,Tervetes novads,TERVETES NOVADS,Tērvetes novads,GRID.pathgrob.104,90
0500200,Gulbenes novads,GULBENES NOVADS,Gulbenes novads,GRID.pathgrob.19,5
