Location,Category,Pointing,Declaring,Registering,RegistrationNotValid,Total
DAUGAVPILS,LATVIJAS PILSONIS,190,74457,1,1724,76372
DAUGAVPILS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
DAUGAVPILS,LATVIJAS NEPILSONIS,32,16212,1,525,16770
DAUGAVPILS,LATVIJAS BEGLIS,0,0,0,0,0
DAUGAVPILS,LATVIJAS BEZVALSTNIEKS,0,4,0,0,4
DAUGAVPILS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
DAUGAVPILS,PAREJIE,51,5692,2,31,5776
JELGAVA,LATVIJAS PILSONIS,131,49321,0,1640,51092
JELGAVA,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
JELGAVA,LATVIJAS NEPILSONIS,102,8827,0,948,9877
JELGAVA,LATVIJAS BEGLIS,0,0,0,0,0
JELGAVA,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
JELGAVA,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
JELGAVA,PAREJIE,39,1747,0,44,1830
JEKABPILS,LATVIJAS PILSONIS,91,20768,225,860,21944
JEKABPILS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
JEKABPILS,LATVIJAS NEPILSONIS,16,2636,2,196,2850
JEKABPILS,LATVIJAS BEGLIS,0,0,0,0,0
JEKABPILS,LATVIJAS BEZVALSTNIEKS,0,6,0,0,6
JEKABPILS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
JEKABPILS,PAREJIE,7,401,1,12,421
JURMALA,LATVIJAS PILSONIS,171,42426,11,1197,43805
JURMALA,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
JURMALA,LATVIJAS NEPILSONIS,132,8616,4,974,9726
JURMALA,LATVIJAS BEGLIS,0,1,0,0,1
JURMALA,LATVIJAS BEZVALSTNIEKS,0,4,0,0,4
JURMALA,LATVIJAS ALTERNATIVAIS,0,1,0,0,1
JURMALA,PAREJIE,96,3774,2,54,3926
LIEPAJA,LATVIJAS PILSONIS,132,58717,13,1612,60474
LIEPAJA,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
LIEPAJA,LATVIJAS NEPILSONIS,40,13507,0,1298,14845
LIEPAJA,LATVIJAS BEGLIS,0,0,0,0,0
LIEPAJA,LATVIJAS BEZVALSTNIEKS,1,10,0,0,11
LIEPAJA,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
LIEPAJA,PAREJIE,73,5313,1,46,5433
REZEKNE,LATVIJAS PILSONIS,81,29450,0,758,30289
REZEKNE,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
REZEKNE,LATVIJAS NEPILSONIS,9,1968,0,207,2184
REZEKNE,LATVIJAS BEGLIS,0,0,0,0,0
REZEKNE,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
REZEKNE,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
REZEKNE,PAREJIE,7,551,0,11,569
RIGA,LATVIJAS PILSONIS,3935,492887,424,12512,509758
RIGA,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
RIGA,LATVIJAS NEPILSONIS,1193,136631,256,11199,149279
RIGA,LATVIJAS BEGLIS,0,32,0,1,33
RIGA,LATVIJAS BEZVALSTNIEKS,1,95,0,2,98
RIGA,LATVIJAS ALTERNATIVAIS,0,63,0,0,63
RIGA,PAREJIE,1250,34238,9,811,36308
VALMIERA,LATVIJAS PILSONIS,35,23604,39,737,24415
VALMIERA,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
VALMIERA,LATVIJAS NEPILSONIS,0,1399,9,76,1484
VALMIERA,LATVIJAS BEGLIS,0,0,0,0,0
VALMIERA,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
VALMIERA,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
VALMIERA,PAREJIE,2,160,0,1,163
VENTSPILS,LATVIJAS PILSONIS,165,30565,1,730,31461
VENTSPILS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
VENTSPILS,LATVIJAS NEPILSONIS,20,6821,0,329,7170
VENTSPILS,LATVIJAS BEGLIS,0,0,0,0,0
VENTSPILS,LATVIJAS BEZVALSTNIEKS,0,4,0,0,4
VENTSPILS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
VENTSPILS,PAREJIE,32,2298,0,26,2356
AGLONAS NOVADS,LATVIJAS PILSONIS,15,3826,0,23,3864
AGLONAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
AGLONAS NOVADS,LATVIJAS NEPILSONIS,4,236,0,4,244
AGLONAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
AGLONAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
AGLONAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
AGLONAS NOVADS,PAREJIE,0,45,0,1,46
AIZKRAUKLES NOVADS,LATVIJAS PILSONIS,59,8083,1,150,8293
AIZKRAUKLES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
AIZKRAUKLES NOVADS,LATVIJAS NEPILSONIS,17,923,0,62,1002
AIZKRAUKLES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
AIZKRAUKLES NOVADS,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
AIZKRAUKLES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
AIZKRAUKLES NOVADS,PAREJIE,4,80,0,4,88
AIZPUTES NOVADS,LATVIJAS PILSONIS,29,9555,1,71,9656
AIZPUTES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
