"Municipality","Region","RegionOrCity","Abbreviation","visc_code"
"Ādažu novads","Pierīga","Rīgas reģions","ADA",11
"Aglonas novads","Latgale","Latgales reģions","AGL",1
"Aizkraukles novads","Zemgale","Zemgales reģions","AKR",2
"Aizputes novads","Kurzeme","Kurzemes reģions","AZP",3
"Aknīstes novads","Zemgale","Zemgales reģions","AKN",4
"Alojas novads","Pierīga","Rīgas reģions","ALO",5
"Alsungas novads","Kurzeme","Kurzemes reģions","ALS",6
"Alūksnes novads","Vidzeme","Vidzemes reģions","ALU",7
"Amatas novads","Vidzeme","Vidzemes reģions","AMA",8
"Apes novads","Vidzeme","Vidzemes reģions","APE",9
"Auces novads","Zemgale","Zemgales reģions","AUC",10
"Babītes novads","Pierīga","Rīgas reģions","BAB",12
"Baldones novads","Pierīga","Rīgas reģions","BLD",13
"Baltinavas novads","Latgale","Latgales reģions","BLT",14
"Balvu novads","Latgale","Latgales reģions","BLV",15
"Bauskas novads","Zemgale","Zemgales reģions","BAU",16
"Beverīnas novads","Vidzeme","Vidzemes reģions","BEV",17
"Brocēnu novads","Kurzeme","Kurzemes reģions","BRO",18
"Burtnieku novads","Vidzeme","Vidzemes reģions","BUR",19
"Carnikavas novads","Pierīga","Rīgas reģions","CAR",20
"Cēsu novads","Vidzeme","Vidzemes reģions","CES",22
"Cesvaines novads","Vidzeme","Vidzemes reģions","CSV",21
"Ciblas novads","Latgale","Latgales reģions","CIB",23
"Dagdas novads","Latgale","Latgales reģions","DAG",24
"Daugavpils","Latgale","Daugavpils","DAU",26
"Daugavpils novads","Latgale","Latgales reģions","DAN",25
"Dobeles novads","Zemgale","Zemgales reģions","DOB",27
"Dundagas novads","Kurzeme","Kurzemes reģions","DUN",28
"Durbes novads","Kurzeme","Kurzemes reģions","DUR",29
"Engures novads","Pierīga","Rīgas reģions","ENG",30
"Ērgļu novads","Vidzeme","Vidzemes reģions","ERG",31
"Garkalnes novads","Pierīga","Rīgas reģions","GAR",32
"Grobiņas novads","Kurzeme","Kurzemes reģions","GRO",33
"Gulbenes novads","Vidzeme","Vidzemes reģions","GUL",34
"Iecavas novads","Zemgale","Zemgales reģions","IEC",35
"Ikšķiles novads","Pierīga","Rīgas reģions","IKS",36
"Ilūkstes novads","Latgale","Latgales reģions","ILU",37
"Inčukalna novads","Pierīga","Rīgas reģions","INC",38
