A. Kronvalda Durbes vidusskola,*,L
A. Pumpura Rigas 11. pamatskola,*,L
A. Spaga Dunalkas pamatskola,*,L
A. Upiša Skriveru vidusskola,*,L
Adažu Briva Valdorfa skola,*,L
Agenskalna sakumskola,*,L
Agenskalna sakumsskola,*,L
Agenskalna Valsts gimnazija,*,L
Aglonas vidusskola,*,L
Aizkraukles novada gimnazija,*,L
Aizkraukles pilsetas sakumskola,*,L
Aizputes pagasta pamatskola,*,L
Aizputes vidusskola,*,L
Aizupes pamatskola,*,L
Aluksnes pilsetas sakumskola,*,L
Amatas pamatskola,*,L
Andreja Egliša Laudonas vidusskola,*,L
Andreja Pumpura Rigas 11. pamatskola,*,L
Andreja Upiša Skriveru vidusskola,*,L
Andrupenes pamatskola,*,L
Andzelu pamatskola,*,L
Asunes pamatskola,*,L
Ata Kronvalda Durbes vidusskola,*,L
Babites vidusskola,*,L
Baldones Muzikas pamatskola,*,L
Baldones vidusskola,*,L
Balvu pamatskola,*,L
Balvu Valsts gimnazija,*,L
Bauskas sakumskola,*,L
Bauskas Valsts gimnazija,*,L
Birzgales pamatskola,*,L
Bralu Skrindu Atašienes vidusskola,*,L
Briežuciema pamatskola,*,L
Brocenu vidusskola,*,L
Carnikavas pamatskola,*,L
Cesu 1. pamatskola,*,L
Cesu 2. pamatskola,*,L
Cesu pilsetas pamatskola,*,L
Cesu pilsetas Pastarina sakumskola,*,L
Cesu Valsts gimnazija,*,L
DA Cesu Valsts gimnazija,*,L
DA Liepajas pilsetas 5. vidusskola,*,L
Dagdas vidusskola,*,L
Daugavpils 10. vidusskola,*,K
Daugavpils 12.vidusskola,*,L
Daugavpils 13.vidusskola,*,K
Daugavpils 15.vidusskola,*,K
Daugavpils 16.vidusskola,*,K
Daugavpils 3.vidusskola,*,L
Daugavpils 9. vidusskola,*,K
Daugavpils Centra vidusskola,*,K
Daugavpils Krievu vidusskola - licejs,*,K
Daugavpils Saskanas pamatskola,*,L
Daugavpils Valsts gimnazija,*,L
Daugavpils Vienibas pamatskola,*,L
Dobeles 1. vidusskola,*,L
Dobeles Valsts gimnazija,*,L
Draudziga Aicinajuma Cesu Valsts gimnazija,*,L
Druvas vidusskola,*,L
Dundagas vidusskola,*,L
Engures vidusskola,*,L
Ernsta Glika Aluksnes Valsts gimnazija,*,L
Ezernieku vidusskola,*,L
Ezernieku vidusskola, Dagdas novads,*,L
Grobinas gimnazija,*,L
Grobinas pamatskola,*,L
Grundzales pamatskola,*,L
Gulbenes Berzu sakumskola,*,L
Gulbenes novada valsts gimnazija,*,L
Gulbenes novada Valsts gimnazija,*,L
Gulbenes vidusskola,*,L
Ikškiles vidusskola,*,L
Ilguciema vidusskola,*,L
Incukalna pamatskola,*,L
ISMA "Premjers",*,K
ISMA vidusskola "PREMJERS",*,K
ISMA vidusskola Premjers,*,K
J. Cakstes Liepajas pilsetas 10. vidusskola,*,L
J.Endzelina Kauguru pamatskola,*,L
J.G.Herdera Rigas Grizinklana vidusskola,*,K
Jaunmarupes pamatskola,*,L
Jaunmarupes sakumskola,*,L
Jaunogres vidusskola,*,K
Jaunsilavas pamatskola,*,L
Jekabpils 2. vidusskola,*,K
Jekabpils 3.vidusskola,*,L
Jekabpils pamatskola,*,L
Jekabpils Valsts gimnazija,*,L
Jelgavas 2. pamatskola,*,K
Jelgavas 3. sakumskola,*,L
Jelgavas 4. sakumskola,*,L
Jelgavas 5. vidusskola,*,K
Jelgavas 6. vidusskola,*,K
Jelgavas Muzikas vidusskola,*,K
Jelgavas Spidolas gimnazija,*,L
Jelgavas Tehnologiju vidusskola,*,L
Jelgavas Valsts gimnazija,*,L
Jersikas pamatskola,*,L
Jumpravas vidusskola,*,L
Jurmalas Alternativa skola,*,L
Jurmalas Alternetiva skola,*,L
Jurmalas pilsetas Kauguru vidusskola,*,K
Jurmalas sakumskola "Atvase",*,L
Kaletu pamatskola,*,L
Kalnciema pagasta vidusskola,*,L
Kalvenes pamatskola,*,L
