"Darbinieks","Slodze","Alga"
184,0,0
210,0,0
213,0,0
240,0,0
367,0,0
391,0,0
409,0,0
448,0,0
576,0,0
704,0,0
717,0,0
1110,0,0
1252,0,0
1254,0,0
1255,0,0
1391,0,0
1420,0,0
1436,0,0
1477,0,0
1479,0,0
1505,0,0
1555,0,0
1583,0,0
1609,0,0
1747,0,0
1765,0,0
1787,0,0
2084,0,0
2094,0,0
2096,0,0
2388,0,0
2527,0,0
2531,0,0
2650,0,0
2655,0,0
2789,0,0
2796,0,0
2853,0,0
2858,0,0
2881,0,0
2952,0,0
2992,0,0
3006,0,0
3024,0,0
3119,0,0
3127,0,0
3131,0,0
3172,0,0
3177,0,0
3219,0,0
3236,0,0
3273,0,0
3304,0,0
3340,0,0
3484,0,0
3556,0,0
3569,0,0
3571,0,0
3595,0,0
3665,0,0
3677,0,0
3734,0,0
3912,0,0
3941,0,0
4004,0,0
4216,0,0
4424,0,0
4470,0,0
4568,0,0
4617,0,0
4898,0,0
4926,0,0
4931,0,0
4933,0,0
4937,0,0
4999,0,0
5015,0,0
5078,0,0
5081,0,0
5202,0,0
5287,0,0
5327,0,0
5516,0,0
5544,0,0
5646,0,0
5650,0,0
5693,0,0
5715,0,0
5758,0,0
5778,0,0
5796,0,0
5822,0,0
5824,0,0
5829,0,0
5850,0,0
5955,0,0
6149,0,0
6163,0,0
6194,0,0
6233,0,0
6240,0,0
6284,0,0
6287,0,0
6332,0,0
6335,0,0
6351,0,0
6357,0,0
6367,0,0
6574,0,0
6661,0,0
6674,0,0
6713,0,0
6719,0,0
6725,0,0
6731,0,0
6783,0,0
6794,0,0
6827,0,0
6875,0,0
6876,0,0
6907,0,0
6915,0,0
6960,0,0
6964,0,0
7107,0,0
7120,0,0
7190,0,0
7405,0,0
7412,0,0
7618,0,0
7675,0,0
7678,0,0
7680,0,0
7701,0,0
7704,0,0
7712,0,0
7714,0,0
7740,0,0
7754,0,0
7852,0,0
7920,0,0
7976,0,0
8028,0,0
8050,0,0
8099,0,0
8107,0,0
8132,0,0
8217,0,0
8258,0,0
8283,0,0
8353,0,0
8400,0,0
8419,0,0
8448,0,0
8557,0,0
8636,0,0
8639,0,0
8648,0,0
8727,0,0
8778,0,0
8790,0,0
8827,0,0
8952,0,0
9167,0,0
9395,0,0
9478,0,0
9488,0,0
9513,0,0
9556,0,0
9601,0,0
9769,0,0
9776,0,0
9817,0,0
9840,0,0
9927,0,0
9928,0,0
10100,0,0
10121,0,0
10159,0,0
10173,0,0
10207,0,0
10227,0,0
10238,0,0
10303,0,0
10343,0,0
10375,0,0
10409,0,0
10499,0,0
10513,0,0
10526,0,0
10551,0,0
10574,0,0
10581,0,0
10590,0,0
10679,0,0
10810,0,0
10906,0,0
10988,0,0
11147,0,0
11157,0,0
11161,0,0
11258,0,0
11377,0,0
11658,0,0
11694,0,0
11726,0,0
11732,0,0
11767,0,0
11789,0,0
11879,0,0
11884,0,0
11917,0,0
11978,0,0
11981,0,0
12109,0,0
12229,0,0
12266,0,0
12274,0,0
12279,0,0
12339,0,0
12387,0,0
12490,0,0
12575,0,0
12586,0,0
12818,0,0
12854,0,0
12895,0,0
13024,0,0
13043,0,0
13050,0,0
13077,0,0
13209,0,0
13474,0,0
13525,0,0
13528,0,0
13660,0,0
13675,0,0
13700,0,0
13708,0,0
13719,0,0
13724,0,0
13725,0,0
13727,0,0
13909,0,0
13911,0,0
13920,0,0
13945,0,0
13986,0,0
14028,0,0
14029,0,0
14042,0,0
14100,0,0
14132,0,0
14168,0,0
14216,0,0
14244,0,0
14250,0,0
14266,0,0
14299,0,0
14303,0,0
14314,0,0
14317,0,0
14340,0,0
14513,0,0
14530,0,0
14574,0,0
14670,0,0
14802,0,0
14818,0,0
14852,0,0
14860,0,0
14865,0,0
14878,0,0
14898,0,0
14924,0,0
14929,0,0
14931,0,0
14932,0,0
14936,0,0
14955,0,0
14960,0,0
14971,0,0
14974,0,0
14979,0,0
14981,0,0
14983,0,0
14991,0,0
15001,0,0
15171,0,0
15182,0,0
15183,0,0
15218,0,0
15269,0,0
15272,0,0
15385,0,0
15426,0,0
15527,0,0
15593,0,0
15601,0,0
15635,0,0
15646,0,0
15659,0,0
15829,0,0
15933,0,0
16036,0,0
16052,0,0
16064,0,0
16065,0,0
16074,0,0
16094,0,0
16095,0,0
16111,0,0
16134,0,0
16195,0,0
16199,0,0
16207,0,0
16334,0,0
16407,0,0
16449,0,0
16508,0,0
16578,0,0
16675,0,0
16739,0,0
16748,0,0
16765,0,0
16769,0,0
16839,0,0
16874,0,0
16883,0,0
16901,0,0
16911,0,0
16946,0,0
16964,0,0
16973,0,0
16993,0,0
17028,0,0
17100,0,0
17209,0,0
17238,0,0
17296,0,0
17327,0,0
17397,0,0
17449,0,0
17467,0,0
17483,0,0
17496,0,0
17528,0,0
17587,0,0
17702,0,0
17932,0,0
17933,0,0
17938,0,0
18056,0,0
18332,0,0
18338,0,0
18356,0,0
18499,0,0
