"ListNo","ShortName","CandNo","CandName","Pluses","Minuses"
1,"LKS",1,"Elita Kosaka",356,37
1,"LKS",2,"Žanna Muzikantova",159,32
1,"LKS",3,"Tamāra Šustova",150,29
1,"LKS",4,"Nelli Kujavska",128,36
1,"LKS",5,"Ilona Titarenko",142,30
1,"LKS",6,"Valentina Lišeņa",124,32
1,"LKS",7,"Konstantīns Boroņins",173,32
1,"LKS",8,"Nataļja Bernatska",135,29
2,"JKP",1,"Juris Jurašs",5218,576
2,"JKP",2,"Ieva Akuratere",2704,2083
2,"JKP",3,"Inga Gluzda",1160,898
2,"JKP",4,"Uldis Budriķis",1269,548
2,"JKP",5,"Bruno Jurševics",1068,699
2,"JKP",6,"Andris Saulītis",1040,607
2,"JKP",7,"Oskars Kreilis",830,577
2,"JKP",8,"Natālija Balode",965,951
2,"JKP",9,"Tamāra Kaudze",824,680
2,"JKP",10,"Egils Kraulers",708,665
2,"JKP",11,"Aija Burkevica",784,656
2,"JKP",12,"Evita Pētersone",936,609
2,"JKP",13,"Henrijs Ķeružis",1103,635
2,"JKP",14,"Dainars Zolmanis",895,690
2,"JKP",15,"Ģirts Strazdiņš",943,555
3,"Ricib",1,"Andris Perjans",17,1
3,"Ricib",2,"Viktors Vasiļjevs",10,0
3,"Ricib",3,"Andrejs Agurejevs",11,0
3,"Ricib",4,"Igors Vaļikovs",11,0
3,"Ricib",5,"Māris Brikmanis",11,1
3,"Ricib",6,"Māris Peipiņš",12,0
3,"Ricib",7,"Rudīte Bramane",11,0
3,"Ricib",8,"Igors Konašenkovs",8,0
3,"Ricib",9,"Miervaldis Stivriņš",9,0
3,"Ricib",10,"Aleksandrs Sergejevs",14,0
4,"NA",1,"Ilze Indriksone",2020,720
4,"NA",2,"Janīna Kursīte-Pakule",2867,893
4,"NA",3,"Artūrs Butāns",1434,624
4,"NA",4,"Ringolds Balodis",1300,1050
4,"NA",5,"Linards Tiļugs",1119,672
4,"NA",6,"Gundars Sebris",1063,604
4,"NA",7,"Diāna Švānberga",642,623
4,"NA",8,"Santa Laurinoviča",649,744
4,"NA",9,"Uģis Lagzdiņš",678,613
4,"NA",10,"Jānis Makkars",448,711
4,"NA",11,"Normunds Dzintars",1422,589
4,"NA",12,"Ivars Atteka",625,673
4,"NA",13,"Irēna Šusta",596,739
4,"NA",14,"Armands Jēkabsons",630,597
4,"NA",15,"Egīls Šņore",1249,723
5,"Progr",1,"Dace Kavasa",498,58
5,"Progr",2,"Ansis Dobelis",509,47
5,"Progr",3,"Maija Rēriha",346,74
