,,"1. ""Latvijas Krievu savienība""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2. Jaunā konservatīvā partija",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3. Rīcības partija",,,,,,,,,,,,,,,,,,,,,,,,,,"4. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5. ""PROGRESĪVIE""",,,,,,,,,,,,,,,,,,,,,,"6. ""Latvijas centriskā partija""",,,,"7. ""LSDSP/KDS/GKL""",,,,,,,,,,,,,,,,,,,,,,,,"8. No sirds Latvijai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9. ""Saskaņa"" sociāldemokrātiskā partija",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10. Attīstībai/Par!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11. Latvijas Reģionu Apvienība",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12. ""Latviešu Nacionālisti""",,,,,,,,,,,,,,"13. Jaunā VIENOTĪBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14. Par Alternatīvu",,,,,,"15. Politiskā partija ""KPV LV""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16. Zaļo un Zemnieku savienība",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1. Jevgeņija Krjukova",,"2. Aleksandrs Ļivčaks",,"3. Aleksejs Vasiļjevs",,"4. Anita Daukšte",,"5. Andrejs Smirnovs",,"6. Dmitrijs Ribņikovs",,"7. Polina Kamļova",,"8. Valērijs Petrovs",,"9. Olga Raņševa",,"10. Arvīds Rubīns",,"11. Sergejs Lavrenovs",,"12. Sofja Ivočkina",,"13. Sergejs Solovjovs",,"14. Inna Seļgicka",,"15. Aleksandrs Baranovskis",,"16. Pāvels Prozors",,"1. Ilga Šuplinska",,"2. Andris Kazinovskis",,"3. Pēteris Aglonietis",,"4. Anita Strapcāne",,"5. Juris Rancāns",,"6. Anželika Jurševica",,"7. Jānis Auziņš",,"8. Dainis Skrūzmanis",,"9. Aldis Brūvers",,"10. Aigars Bukšs",,"11. Edgars Sproģis",,"12. Didzis Brants",,"13. Jānis Strods",,"14. Otto Lodiņš",,"15. Eduards Brūniņš",,"16. Edmunds Griģis",,"17. Margarita Kolosova",,"1. Tamāra Meļņikova",,"2. Aleksandrs Alehnovičs",,"3. Aleksandrs Mihailovs",,"4. Nataļja Fjodorova",,"5. Ruslans Kovaļovs",,"6. Daina Amosova",,"7. Anna Ņešpore",,"8. Jurijs Morozovs",,"9. Ilga Raščevska",,"10. Aleksandrs Saško",,"11. Valērijs Meļkovs",,"12. Viktorija Niedra",,"13. Arturs Vabaļs",,"1. Edmunds Teirumnieks",,"2. Inese Laizāne",,"3. Arnis Slobožaņins",,"4. Māris Igavens",,"5. Marika Zeimule",,"6. Jāzeps Korsaks",,"7. Aija Mežale",,"8. Andrejs Faibuševičs",,"9. Līga Pennere",,"10. Daina Bordovska",,"11. Solveta Logina",,"12. Anda Leikuma",,"13. Aldis Tripans",,"14. Santa Pērkone",,"15. Andrejs Vanags",,"16. Arvīds Ratnieks",,"17. Kristīne Volkoviča",,"1. Agnese Logina",,"2. Gunita Vanaga",,"3. Toms Trasūns",,"4. Inta Ruskule",,"5. Valdis Kudiņš",,"6. Roberts Portnojs",,"7. Mārtiņš Pabērzs",,"8. Edgars Labsvīrs",,"9. Leons Tutiņš",,"10. Gusts Kossovičs",,"11. Edgars Staltmanis",,"1. Georgijs Sokolovskis",,"2. Māris Barkāns",,"1. Daiga Ceipiniece",,"2. Silvija Igaune",,"3. Malda Kristovska",,"4. Jolanta Smane",,"5. Jānis Benislavskis",,"6. Madara Sondore",,"7. Juris Strušels",,"8. Inese Vīča",,"9. Andrejs Justs",,"10. Deniss Šeinovs",,"11. Oļegs Volkovs",,"12. Anastasija Tkačuka",,"1. Jānis Valtervitenheims",,"2. Tālis Korlašs",,"3. Raivis Nikolajevs",,"4. Žanis Nikolaičenko",,"5. Jolanta Jonikāne",,"6. Dainis Narnickis",,"7. Ivars Veliks",,"8. Sandra Ļahova",,"9. Romualds Maculevičs",,"10. Jurijs Kopasovs",,"11. Ilmārs Suhockis",,"12. Uldis Mortuzāns",,"13. Marika Cakule",,"14. Andrejs Kitovs",,"15. Irina Jegorova",,"16. Ivars Kekers",,"17. Ainārs Pudulis",,"1. Jānis Krišāns",,"2. Inga Goldberga",,"3. Ivars Zālītis",,"4. Ivans Ribakovs",,"5. Jānis Tutins",,"6. Vladimirs Nikonovs",,"7. Raimonds Rubiks",,"8. Aleksandrs Jakimovs",,"9. Jeļena Lazareva",,"10. Edgars Kucins",,"11. Olga Belova",,"12. Vladimirs Čuprovs",,"13. Andrejs Bondarevs",,"14. Einārs Jurkevičs",,"15. Raimonds Kalvišs",,"16. Modris Karpovs",,"17. Viktors Jasiņavičs",,"1. Mārtiņš Bondars",,"2. Inta Brence",,"3. Juris Viņķelis",,"4. Iveta Ratinīka",,"5. Rasma Jēkabsone",,"6. Jānis Viļums",,"7. Raimonds Lazda",,"8. Guntis Trupavnieks",,"9. Ainita Kamša",,"10. Ansis Ansbergs",,"11. Māris Puriņš",,"12. Tālis Biezais",,"13. Gaits Lapsa",,"14. Mila Orlova",,"15. Līna Dzērvāne",,"16. Anna Cīrule",,"17. Aivars Tiesnesis",,"1. Juris Viļums",,"2. Juris Vucāns",,"3. Silvija Šimfa",,"4. Guntis Rasims",,"5. Valdis Lauskis",,"6. Toms Vorkalis",,"7. Ruta Cibule",,"8. Kristaps Averjanovs",,"9. Artis Logins",,"10. Valdis Labinskis",,"11. Sanita Zunda",,"12. Aleksandrs Narnickis",,"13. Rūdolfs Beitāns",,"14. Vitālijs Maizītis",,"15. Edgars Tjarve",,"16. Rasma Igaune",,"17. Māris Rumaks",,"1. Vladislavs Bautris",,"2. Astrīda Skrinda",,"3. Danuta Ļevčenko",,"4. Vilhelms Klincāns",,"5. Gunārs Tabūns",,"6. Leonīds Buklovskis",,"7. Solveiga Vecziediņa",,"1. Aldis Adamovičs",,"2. Līvija Plavinska",,"3. Inguna Kokina",,"4. Andris Badūns",,"5. Alīna Gendele",,"6. Maruta Castrova",,"7. Arvīds Soldāns",,"8. Sarmīte Šaicāne",,"9. Dainis Molodcovs",,"10. Māris Garkuls",,"11. Jānis Kupris",,"12. Helēna Piziča",,"13. Ivars Stivriņš",,"14. Jevdokija Šlivka",,"15. Intars Mežinieks",,"16. Renārs Vabals",,"17. Lauris Pastars",,"1. Jānis Kuzins",,"2. Artūrs Malta",,"3. Edvards Beitāns",,"1. Roberts Spručs",,"2. Romualds Siliņš",,"3. Ainārs Belovs",,"4. Raimonds Nipers",,"5. Anatolijs Marhilevičs",,"6. Sergejs Šapovalovs",,"7. Aigars Trušelis",,"8. Ivars Griķis",,"9. Dmitrijs Lukašenoks",,"10. Janīna Kursīte",,"11. Jānis Zakarīts",,"12. Santa Jelinska",,"13. Einārs Bistrovs",,"14. Staņislavs Ančevskis",,"15. Jānis Urbāns",,"16. Inese Siliņa-Petrova",,"17. Vladislavs Čerņavskis",,"1. Jānis Dūklavs",,"2. Jānis Trupovnieks",,"3. Līga Kozlovska",,"4. Jānis Klaužs",,"5. Janīna Jalinska",,"6. Arvīds Barševskis",,"7. Pēteris Rožinskis",,"8. Ināra Sokirka",,"9. Zigmārs Erts",,"10. Reinis Līcis",,"11. Andris Bačuks",,"12. Viktorija Lene",,"13. Ērika Ruskule",,"14. Valerijs Kozlovs",,"15. Viktors Indričāns",,"16. Sergejs Blagoveščenskis",,"17. Juris Guntis Vjakse",
,,"+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-","+","-"
"Daugavpils","159. PAŠVALDĪBAS BUDŽETA IESTĀDE LATVIEŠU KULTŪRAS CENTRS",108,10,66,12,94,6,58,9,49,8,59,8,46,7,48,7,44,9,42,10,50,8,44,6,51,6,42,6,44,8,47,6,14,3,7,3,11,5,6,4,10,3,6,4,8,4,7,3,4,3,4,3,4,3,4,3,8,4,5,3,4,3,4,3,4,5,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,18,12,24,10,3,6,6,6,6,4,1,5,30,9,0,6,0,5,1,5,4,5,2,6,1,6,3,5,7,9,0,8,4,3,11,3,2,2,6,2,1,2,1,2,5,2,1,2,1,2,1,2,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,5,1,7,1,7,3,7,1,6,2,6,2,7,1,6,3,7,4,6,8,4,2,7,3,7,4,6,3,7,1,7,1,7,103,49,398,17,80,48,117,55,77,56,82,50,108,52,74,46,81,47,209,24,79,42,76,42,70,41,79,40,63,40,59,44,68,48,35,9,2,8,4,9,10,7,7,7,4,5,4,8,3,7,2,6,6,7,1,6,3,5,2,7,2,8,1,6,1,7,10,6,19,14,12,11,6,11,9,10,17,9,5,11,4,10,5,10,8,8,3,11,3,11,3,10,4,10,4,10,3,11,7,10,4,9,0,1,5,0,0,1,0,1,0,1,0,1,0,1,20,5,6,7,26,5,5,6,8,6,2,8,5,8,2,7,2,8,16,6,4,6,4,7,5,8,2,8,2,7,1,8,2,7,0,0,0,0,0,0,6,15,4,11,1,14,3,14,0,14,6,14,0,14,0,14,2,14,34,9,0,11,1,9,2,10,3,13,1,10,4,8,1,10,62,31,18,31,18,26,18,34,71,20,82,21,10,23,6,23,11,22,13,22,6,24,4,25,9,19,4,25,3,23,18,27,14,23
"Daugavpils","160. DAUGAVPILS UNIVERSITĀTE",59,6,40,2,54,3,26,3,27,1,26,6,22,3,21,2,23,2,17,3,27,1,18,4,21,3,17,2,20,3,27,2,3,2,3,3,3,3,3,2,5,1,3,2,2,2,3,1,2,2,2,1,2,2,1,2,3,2,1,2,1,2,1,2,4,1,1,0,3,0,3,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10,2,7,3,8,2,4,2,5,2,7,3,3,3,7,4,2,2,2,2,1,2,3,3,3,2,4,2,6,2,6,3,3,2,6,2,9,1,4,2,5,2,9,2,5,2,6,3,5,3,4,2,4,3,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,27,177,11,49,24,67,23,37,24,42,24,45,27,35,26,39,24,71,22,32,19,35,26,29,22,25,23,25,25,25,22,32,24,15,5,1,1,3,2,4,2,2,1,1,1,0,1,0,3,1,2,1,2,0,2,0,2,0,2,1,2,1,2,2,2,0,2,10,3,7,1,0,6,4,3,3,5,0,5,1,5,0,5,1,5,0,5,1,5,1,6,0,5,0,5,1,5,1,5,2,5,1,0,0,0,2,0,0,0,1,0,0,0,0,0,14,0,6,4,19,2,4,3,7,2,3,2,3,3,3,2,3,2,11,2,2,2,2,2,4,2,2,2,2,2,2,2,5,2,3,0,2,0,2,0,10,7,7,6,5,7,5,8,6,8,12,7,5,7,4,7,7,4,27,6,4,6,10,4,4,6,4,6,5,6,7,4,4,6,26,11,9,7,7,7,10,7,28,5,43,5,4,6,4,7,3,7,7,7,4,6,5,6,6,5,6,5,5,5,10,8,5,6
"Daugavpils","161. DAUGAVPILS CENTRA VIDUSSKOLA",102,5,51,7,70,4,34,7,39,6,33,9,29,8,30,7,34,7,26,8,38,7,27,8,35,8,26,7,30,8,36,8,10,0,3,1,7,1,3,1,5,1,4,1,3,1,5,1,3,1,3,1,4,2,3,2,3,3,4,2,3,2,3,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,11,1,11,1,0,1,1,1,2,1,0,1,6,3,0,1,0,1,0,1,1,1,0,2,0,1,0,1,3,4,0,1,1,0,4,0,1,0,1,1,3,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,79,24,290,21,62,30,85,25,53,21,63,18,78,24,67,14,78,15,133,17,71,18,56,18,64,16,52,20,54,20,47,23,55,19,17,1,5,1,3,2,5,2,0,1,3,1,0,1,1,2,0,2,2,0,1,1,2,1,2,2,1,1,1,2,2,1,5,0,7,3,4,1,1,1,5,1,5,0,1,1,2,1,0,1,1,1,2,1,3,1,0,1,1,1,0,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,3,11,1,3,3,1,3,0,3,0,3,0,3,1,3,5,3,0,3,0,3,0,3,0,3,0,3,1,3,1,3,0,0,0,0,0,0,10,9,8,7,7,9,5,9,5,12,11,10,7,9,5,9,7,10,25,4,4,8,6,6,3,9,4,9,5,9,5,8,5,10,27,10,5,6,4,8,8,12,28,7,37,5,2,7,3,7,1,7,2,5,1,6,2,7,3,5,1,6,2,6,6,5,3,6
"Daugavpils","162. A/S ""DAUGAVPILS SILTUMTĪKLI""",39,3,21,5,28,4,13,6,19,5,18,4,15,4,15,4,14,5,14,6,13,5,14,4,15,5,14,8,15,7,13,7,3,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,43,7,73,3,27,6,44,6,33,6,42,5,33,5,32,6,33,6,46,4,33,5,28,7,26,6,27,7,25,7,24,7,26,5,4,2,2,0,2,0,2,0,2,0,1,0,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,2,0,0,1,1,1,4,0,1,0,1,0,1,0,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,1,1,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,5,0,2,0,3,0,4,0,2,0,5,1,2,0,2,0,4,0,8,2,2,0,4,0,3,0,3,0,2,0,2,0,3,0,7,4,3,3,5,3,5,3,9,3,7,3,3,3,3,3,4,3,4,3,3,3,3,3,6,3,3,4,3,3,5,3,2,3
"Daugavpils","163. DAUGAVPILS PILSĒTAS DOMES SOCIĀLĀ DIENESTA DIENAS CENTRS ""SASKARSME""",53,1,36,2,41,2,23,3,28,1,27,1,21,2,20,1,24,1,22,1,28,1,24,1,25,0,22,2,23,0,26,1,4,0,2,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1,1,1,2,1,1,1,1,1,0,1,3,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,3,0,2,0,1,1,3,0,2,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,33,10,110,2,27,5,38,7,25,10,26,9,25,7,22,9,26,9,54,6,24,7,18,6,20,6,26,3,17,6,16,9,20,8,3,1,1,0,1,1,1,0,1,0,1,1,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,7,0,2,1,4,1,1,0,4,0,1,1,1,0,2,0,1,1,2,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2,2,1,2,2,2,3,2,1,2,11,1,1,3,1,3,2,3,11,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,15,3,4,6,5,3,3,7,19,7,17,3,1,3,2,3,1,3,1,2,1,3,1,3,3,3,2,4,1,3,6,5,2,2
"Daugavpils","164. RUĢEĻU PIRMSSKOLAS IZGLĪTĪBAS IESTĀDE",72,1,40,2,64,2,30,3,30,1,30,3,25,1,26,1,32,3,25,1,30,2,24,1,27,1,24,1,27,3,26,3,3,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1,1,0,1,0,1,0,1,3,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,54,15,184,4,40,13,46,16,27,16,40,14,35,15,34,13,45,12,82,9,36,13,36,11,37,14,31,12,27,15,27,14,30,12,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,7,0,3,1,1,1,0,1,1,1,0,1,0,1,2,1,1,1,0,1,0,1,0,1,4,1,0,1,1,1,0,0,0,0,0,0,3,3,2,3,1,3,1,3,1,3,1,3,1,3,2,2,1,3,12,1,1,3,1,3,1,3,1,3,1,3,1,4,1,3,12,5,3,6,2,6,3,8,10,4,21,2,2,7,0,7,1,7,0,7,0,7,1,7,1,7,0,7,0,7,8,5,0,7
"Daugavpils","165. POĻU KULTŪRAS CENTRS",29,0,16,1,18,0,12,0,13,1,13,1,10,0,11,1,9,1,10,1,11,1,10,1,11,1,9,1,10,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,4,0,1,0,1,0,1,0,1,0,4,0,1,0,0,0,1,0,2,0,1,0,1,0,1,0,3,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,2,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,65,6,16,7,28,5,14,6,22,7,17,6,21,5,16,3,31,6,13,6,17,7,12,4,16,4,13,2,13,5,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,0,1,5,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,11,1,2,3,2,3,4,2,9,3,11,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,1,4,2,2,2
"Daugavpils","166. 17. VIDUSSKOLA",50,1,33,1,54,1,25,1,32,0,29,0,23,0,28,0,23,0,25,0,28,1,27,0,27,0,23,0,28,0,26,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,1,2,0,2,1,3,1,2,1,3,1,4,0,2,1,2,1,2,1,3,1,2,1,2,1,2,1,3,1,3,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,2,0,4,0,2,0,3,0,2,0,2,0,2,0,2,0,2,0,3,0,2,0,3,0,2,0,2,0,41,11,132,14,26,11,35,17,23,11,24,11,27,14,24,7,28,8,129,8,25,8,21,10,20,8,24,8,19,11,18,9,21,8,8,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,1,2,1,2,1,2,2,2,6,2,1,2,1,2,3,2,15,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,11,3,2,3,1,3,1,3,10,2,6,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,6,0,0,1
