"ListNo","ShortName","CandNo","CandName","Pluses","Minuses"
1,"LKS",1,"Andrejs Mamikins",6553,172
1,"LKS",2,"Irina Bobkova",1295,165
1,"LKS",3,"Aleksandrs Kuzmins",1452,140
1,"LKS",4,"Aleksandrs Filejs",1163,172
1,"LKS",5,"Jakovs Pliners",2278,213
1,"LKS",6,"Vladimirs Buzajevs",1823,153
1,"LKS",7,"Natālija Jolkina",1133,149
1,"LKS",8,"Aleksandrs Gamaļejevs",768,145
1,"LKS",9,"Dmitrijs Šandibins",837,146
1,"LKS",10,"Oļegs Sisoļatins",844,166
1,"LKS",11,"Andrejs Pagors",672,150
1,"LKS",12,"Ļubova Ždanova",1183,164
1,"LKS",13,"Jekaterina Gavrilova",790,160
1,"LKS",14,"Viktors Mišins",748,141
1,"LKS",15,"Tatjana Favorska",900,154
1,"LKS",16,"Oļegs Nikiforovs",1128,143
1,"LKS",17,"Viktorija Murina",679,144
1,"LKS",18,"Vladimirs Hodakovskis",722,145
1,"LKS",19,"Tatjana Jemeļjanova",786,142
1,"LKS",20,"Viktors Harlamovs",740,134
1,"LKS",21,"Vano Razmadze",662,187
1,"LKS",22,"Jekaterīna Tkačuka",746,170
1,"LKS",23,"Gagiks Sarkisjans",661,190
1,"LKS",24,"Nazira Iso",591,199
1,"LKS",25,"Ņina Isačenkova",622,143
1,"LKS",26,"Sergejs Muļivanovs",710,140
1,"LKS",27,"Maksims Savunovs",621,141
1,"LKS",28,"Andrejs Larionovs",701,139
1,"LKS",29,"Aleksandrs Malnačs",766,150
1,"LKS",30,"Iļja Kozirevs",1057,177
2,"JKP",1,"Juta Strīķe",13357,5433
2,"JKP",2,"Gatis Eglītis",4646,711
2,"JKP",3,"Linda Ozola",3156,907
2,"JKP",4,"Tālis Linkaits",3903,824
2,"JKP",5,"Reinis Znotiņš",2995,797
2,"JKP",6,"Linda Medne",1893,754
2,"JKP",7,"Marija Balcere",1536,1470
2,"JKP",8,"Jānis Butāns",2235,770
2,"JKP",9,"Anita Svece",1418,857
2,"JKP",10,"Santa Suhaka",1066,1033
2,"JKP",11,"Jānis Ozols",1593,1137
2,"JKP",12,"Līva Kreituse",1918,1037
2,"JKP",13,"Eva Mārtuža",2279,1096
2,"JKP",14,"Ilgvars Brakovskis",1237,741
2,"JKP",15,"Vilis Bārtulis",1059,812
2,"JKP",16,"Marita Klikiča",934,903
2,"JKP",17,"Guntars Vaivars",1159,732
2,"JKP",18,"Andris Gross",1294,787
2,"JKP",19,"Arita Ūdre",1258,772
2,"JKP",20,"Ilze Zilgalve",1255,785
2,"JKP",21,"Kaspars Kalnmeiers",1264,1112
2,"JKP",22,"Edgars Horns",992,781
2,"JKP",23,"Māris Kaijaks",1050,794
2,"JKP",24,"Dace Austra Balode",1028,862
2,"JKP",25,"Daiga Kalnbērziņa",985,833
2,"JKP",26,"Inese Posse",897,795
2,"JKP",27,"Aiga Aizpuriete",1141,998
2,"JKP",28,"Aija Stepanova",859,1167
2,"JKP",29,"Edgars Kāpa",967,875
2,"JKP",30,"Uldis Meļķisis",917,801
2,"JKP",31,"Gatis Karlsons",1009,692
2,"JKP",32,"Jānis Liberts",1233,715
2,"JKP",33,"Dainis Čapkovskis",885,906
2,"JKP",34,"Inese Simsone",912,1081
2,"JKP",35,"Jānis Kņazs",967,872
2,"JKP",36,"Raimonds Strauss",1038,839
2,"JKP",37,"Konstantīns Zorins",1310,1295
2,"JKP",38,"Indulis Tupesis",1199,1154
3,"Ricib",1,"Igors Meļņikovs",74,16
3,"Ricib",2,"Artjoms Labejevs",34,20
3,"Ricib",3,"Aleksandrs Tkačovs",31,18
3,"Ricib",4,"Dainis Močs",34,18
3,"Ricib",5,"Vjačeslavs Brjankins",15,21
3,"Ricib",6,"Kristīne Dovāne",22,16
3,"Ricib",7,"Artjoms Suvorovs",19,23
3,"Ricib",8,"Jeļena Ziemele",20,16
3,"Ricib",9,"Konstantīns Žiharevs",21,17
3,"Ricib",10,"Genādijs Močalovs",20,19
3,"Ricib",11,"Aļona Prudņikova",16,19
3,"Ricib",12,"Irina Tihanova",16,20
3,"Ricib",13,"Mihails Gončarovs",17,18
3,"Ricib",14,"Juris Dzenis",17,17
3,"Ricib",15,"Normunds Zerafims",15,19
3,"Ricib",16,"Nikolajs Redkins",14,19
3,"Ricib",17,"Vitālijs Arsentjevs",19,20
3,"Ricib",18,"Arturs Gavriļuks",13,18
3,"Ricib",19,"Juris Vucāns",18,18
3,"Ricib",20,"Vilnis Briedis",22,17
3,"Ricib",21,"Tatjana Ponomarenko",16,20
3,"Ricib",22,"Viktors Austers",17,17
3,"Ricib",23,"Guntis Apiņš",21,16
3,"Ricib",24,"Jurijs Ivaņenko",11,20
3,"Ricib",25,"Rūdolfs Aļkvists",14,19
3,"Ricib",26,"Roberts Kondrats",17,16
3,"Ricib",27,"Zinaida Apreļeva",18,18
4,"NA",1,"Dace Melbārde",10883,953
4,"NA",2,"Rihards Kols",4891,1149
4,"NA",3,"Ritvars Jansons",2509,1194
4,"NA",4,"Aleksandrs Kiršteins",4195,2564
4,"NA",5,"Dzintars Rasnačs",3507,5499
4,"NA",6,"Dainis Locis",1174,1328
4,"NA",7,"Jānis Iesalnieks",2550,1398
4,"NA",8,"Jurģis Klotiņš",1775,1039
4,"NA",9,"Elīna Treija",1314,1181
4,"NA",10,"Jānis Atis Krūmiņš",1268,1078
4,"NA",11,"Līga Leitāne",1106,1001
4,"NA",12,"Ginta Vilcāne",976,1073
4,"NA",13,"Edvards Ratnieks",1409,1102
4,"NA",14,"Aldis Grunde",715,1106
4,"NA",15,"Andris Puide",518,1265
4,"NA",16,"Jānis Feldmanis",1022,861
4,"NA",17,"Ilze Bertāne",1020,951
4,"NA",18,"Ligita Vircava",685,1257
4,"NA",19,"Jānis Ratkevičs",828,957
4,"NA",20,"Dagnija Blumberga",920,1211
4,"NA",21,"Dace Kalniņa",1141,882
4,"NA",22,"Severīns Dūms",590,1108
4,"NA",23,"Gints Zemitāns",599,965
4,"NA",24,"Ieva Zeltīte",714,1006
4,"NA",25,"Zigurds Strīķis",738,1318
4,"NA",26,"Jānis Tomels",785,950
4,"NA",27,"Kaspars Timma",820,1035
4,"NA",28,"Edgars Jansons",666,1001
4,"NA",29,"Rolands Arturs Bebris",506,1238
4,"NA",30,"Jānis Derums",602,1258
4,"NA",31,"Pēteris Miezītis",575,881
4,"NA",32,"Ilmārs Geiba",621,1089
4,"NA",33,"Pēteris Līdacis",603,888
4,"NA",34,"Māra Bērziņa",734,977
4,"NA",35,"Māris Kanders",554,919
4,"NA",36,"Margita Lagzdiņa",562,1025
4,"NA",37,"Jānis Arnis",621,919
4,"NA",38,"Uvis Briedis",753,971
5,"Progr",1,"Antoņina Ņenaševa",2200,427
5,"Progr",2,"Roberts Putnis",3243,250
5,"Progr",3,"Sandra Martinsone",1235,132
5,"Progr",4,"Viesturs Kleinbergs",1120,129
5,"Progr",5,"Rūta Mežavilka",968,172
5,"Progr",6,"Edmunds Cepurītis",1094,121
5,"Progr",7,"Anda Vītola",627,173
5,"Progr",8,"Olevs Nikers",605,186
5,"Progr",9,"Ilona Turkovska",527,211
5,"Progr",10,"Kaspars Vanags",935,150
5,"Progr",11,"Sintija Popena",610,155
5,"Progr",12,"Mārtiņš Zvejnieks",733,108
5,"Progr",13,"Ilze Dombrovska",638,176
5,"Progr",14,"Artūrs Hoļavins",478,241
5,"Progr",15,"Rudīte Rēriha",570,159
5,"Progr",16,"Jānis Monvīds Kramēns",452,182
5,"Progr",17,"Ena Strazdiņa",513,296
5,"Progr",18,"Dmitrijs Markovs",416,434
5,"Progr",19,"Inga Zviedre-Udalova",487,166
5,"Progr",20,"Juris Dubrovskis",423,207
5,"Progr",21,"Paula Jankovska",548,140
5,"Progr",22,"Miks Strazdiņš",578,162
5,"Progr",23,"Rita Kubuliņa",559,130
5,"Progr",24,"Kaspars Lazdiņš",480,140
5,"Progr",25,"Kristīne Kuļeva",399,332
5,"Progr",26,"Bruno Ozoliņš",533,131
5,"Progr",27,"Maija Krastiņa",534,139
5,"Progr",28,"Elīna Rutkovska",519,177
5,"Progr",29,"Ingrīda Labsvīra",519,162
5,"Progr",30,"Elīna Kļaviņa",673,137
5,"Progr",31,"Diāna Gulbe",555,161
5,"Progr",32,"Mārtiņš Kossovičs",841,342
6,"Centr",1,"Andžejs Zdanovičs",45,19
6,"Centr",2,"Kristīne Kaļiņina",31,20
6,"Centr",3,"Kristīne Bērziņa",35,17
6,"Centr",4,"Viktorija Auziņa",21,22
6,"Centr",5,"Pāvels Podļesnijs",25,22
6,"Centr",6,"Jūlija Krilova",32,20
6,"Centr",7,"Oļegs Oļeščuks",23,23
6,"Centr",8,"Georgijs Orlovs",27,22
6,"Centr",9,"Aleksandra Siliniece",30,21
7,"LSDSP",1,"Armands Agrums",57,56
7,"LSDSP",2,"Andrejs Požarnovs",55,67
7,"LSDSP",3,"Margarita Krauča",46,46
7,"LSDSP",4,"Ieva Margarita Ozola",37,52
7,"LSDSP",5,"Aivars Grigulis",34,54
7,"LSDSP",6,"Skaidra Kalniņa-Rutuļa",22,51
7,"LSDSP",7,"Dagnis Reinsons",37,45
7,"LSDSP",8,"Jānis Kalnačs",24,54
7,"LSDSP",9,"Oskars Mažāns",35,49
7,"LSDSP",10,"Sarmīte Janfelde",29,56
7,"LSDSP",11,"Anita Kokarēviča",34,48
7,"LSDSP",12,"Inese Čača",32,53
7,"LSDSP",13,"Ēriks Ziņģis",23,49
7,"LSDSP",14,"Vilis Freimanis",26,53
7,"LSDSP",15,"Sergejs Ivasjuta",20,62
7,"LSDSP",16,"Indra Juste-Spila",28,44
7,"LSDSP",17,"Inta Beikmane",23,51
7,"LSDSP",18,"Dagmāra Enkuzena",18,49
7,"LSDSP",19,"Juris Dzelme",20,48
7,"LSDSP",20,"Mārtiņš Vidruskis",17,56
7,"LSDSP",21,"Velta Cimdiņa",23,51
7,"LSDSP",22,"Anna Kirilova",21,54
8,"NSL",1,"Inguna Sudraba",1089,80
8,"NSL",2,"Māris Jurjāns",175,83
8,"NSL",3,"Iveta Purne",135,82
8,"NSL",4,"Normunds Grostiņš",137,100
8,"NSL",5,"Inguna Kalniņa",102,81
8,"NSL",6,"Liāna Ulmane",92,88
8,"NSL",7,"Andrejs Jonkins",89,87
8,"NSL",8,"Daina Verveiko",115,85
8,"NSL",9,"Renāte Salmane",93,87
8,"NSL",10,"Alvils Skrastiņš",109,77
8,"NSL",11,"Lauma Pētersone",81,81
8,"NSL",12,"Guna Gottere",81,86
8,"NSL",13,"Vita Sila",65,86
8,"NSL",14,"Jurijs Kalniņš",66,86
8,"NSL",15,"Inga Māra Kraukle",76,76
8,"NSL",16,"Ģirts Ulmanis",92,81
8,"NSL",17,"Viktors Nīcgals",77,81
8,"NSL",18,"Andris Vidužs",86,78
8,"NSL",19,"Kristaps Lagzdiņš",94,88
8,"NSL",20,"Inese Lagzdiņa",100,85
8,"NSL",21,"Laurencija Sazone",81,93
8,"NSL",22,"Sandra Šteinberga",77,78
8,"NSL",23,"Edgars Vieglais",56,76
8,"NSL",24,"Nita Kaļva",79,87
8,"NSL",25,"Vladimirs Vorohobovs",65,100
8,"NSL",26,"Rolands Brikmanis",76,75
8,"NSL",27,"Rūta Ozoliņa",103,71
8,"NSL",28,"Edgars Daudišs",98,91
8,"NSL",29,"Indra Daudiša",88,93
8,"NSL",30,"Eduards Piņkovskis",45,94
8,"NSL",31,"Ļubova Kerevica",54,102
8,"NSL",32,"Oļegs Skripačonoks",58,106
8,"NSL",33,"Aija Vojecka",47,84
8,"NSL",34,"Eduards Jurčenko",60,89
9,"Sask",1,"Vjačeslavs Dombrovskis",34705,1354
9,"Sask",2,"Jānis Urbanovičs",19274,2439
9,"Sask",3,"Andrejs Klementjevs",19086,1367
9,"Sask",4,"Regīna Ločmele-Luņova",18487,1858
9,"Sask",5,"Sergejs Potapkins",7525,1569
9,"Sask",6,"Romāns Mežeckis",6853,1288
9,"Sask",7,"Iveta Sers",5639,1362
9,"Sask",8,"Ļubova Švecova",8321,1234
9,"Sask",9,"Boriss Cilevičs",11249,1652
9,"Sask",10,"Jūlija Stepaņenko",12154,1409
9,"Sask",11,"Sergejs Mirskis",8542,2318
9,"Sask",12,"Andrejs Kozlovs",6756,1430
9,"Sask",13,"Uldis Līkops",5140,1338
9,"Sask",14,"Raimonds Rublovskis",5566,1202
9,"Sask",15,"Ivans Klementjevs",9247,1436
9,"Sask",16,"Artūrs Rubiks",9221,2017
9,"Sask",17,"Igors Pimenovs",8843,1397
9,"Sask",18,"Mihails Zemļinskis",6714,1563
9,"Sask",19,"Viktors Gluhovs",6105,1215
9,"Sask",20,"Margarita Dragiļe",6333,1288
9,"Sask",21,"Konstantīns Čekušins",5568,1169
9,"Sask",22,"Igors Zujevs",6910,1238
9,"Sask",23,"Guntars Jirgensons",5280,1126
9,"Sask",24,"Viktors Paškovs",6038,1188
9,"Sask",25,"Nikolajs Kabanovs",8630,1834
9,"Sask",26,"Nikolajs Zaharovs",5255,1210
9,"Sask",27,"Aleksandrs Vasiļjevs",5381,1094
9,"Sask",28,"Jekaterina Morozova",6668,1358
9,"Sask",29,"Irina Caune",5586,1250
9,"Sask",30,"Aleksandrs Apalenis",4658,1220
9,"Sask",31,"Aleksandra Cimbale",5018,1246
9,"Sask",32,"Veronika Beluza",5035,1262
