"ListNo","ShortName","CandNo","CandName","Pluses","Minuses"
1,"LKS",1,"Andris Tolmačovs",769,73
1,"LKS",2,"Elīna Čujanova",467,79
1,"LKS",3,"Aleksandrs Klapins",396,83
1,"LKS",4,"Ludmila Rodionova",504,80
1,"LKS",5,"Inna Djeri",433,74
1,"LKS",6,"Andrejs Solopenko",377,81
1,"LKS",7,"Aleksandrs Prutkovs",451,84
1,"LKS",8,"Eduards Bonders",342,82
1,"LKS",9,"Fjodors Krupenkins",323,82
1,"LKS",10,"Valerijs Strigins",343,79
1,"LKS",11,"Vjačeslavs Veselovs",386,74
1,"LKS",12,"Viktors Jolkins",405,78
2,"JKP",1,"Jānis Bordāns",20144,868
2,"JKP",2,"Dagmāra Beitnere-Le Galla",4311,1323
2,"JKP",3,"Evita Zālīte-Grosa",4753,1438
2,"JKP",4,"Normunds Žunna",2054,1460
2,"JKP",5,"Anita Muižniece",2274,1340
2,"JKP",6,"Ainars Bašķis",1912,1470
2,"JKP",7,"Jānis Klauze",1455,1261
2,"JKP",8,"Indars Melzobs",1690,1463
2,"JKP",9,"Tatjana Bernharde",1511,1588
2,"JKP",10,"Māris Beļaunieks",1872,1369
2,"JKP",11,"Aivars Ontužāns",1403,1606
2,"JKP",12,"Līga Langrate",1483,1233
2,"JKP",13,"Raitis Sijāts",1357,1331
2,"JKP",14,"Lāsma Žagota",1474,1361
2,"JKP",15,"Jānis Cielēns",1763,1215
2,"JKP",16,"Nauris Gūtmanis",1120,1528
2,"JKP",17,"Ivo Skudiķis",953,1228
2,"JKP",18,"Valters Bergs",1407,1097
2,"JKP",19,"Mārtiņš Aizpurietis",1557,1221
2,"JKP",20,"Jānis Siliņš",1397,1530
2,"JKP",21,"Daina Vanaga",1237,1232
2,"JKP",22,"Gunita Dzene",1116,1254
2,"JKP",23,"Ilona Krūmiņa",1134,1241
2,"JKP",24,"Sandra Ģeida",906,1313
2,"JKP",25,"Jana Zilkalne",1273,1374
2,"JKP",26,"Jurģis Dzērve",1024,1474
2,"JKP",27,"Ivars Puksts",1067,1499
2,"JKP",28,"Santa Vītola",1334,1266
3,"Ricib",1,"Jurijs Vasiļjevs",41,16
3,"Ricib",2,"Pēteris Koškins",32,18
3,"Ricib",3,"Olga Dovāne",37,11
