"ListNo","ShortName","CandNo","CandName","Pluses","Minuses"
1,"LKS",1,"Ludmila Ušakova",810,44
1,"LKS",2,"Viktors Guščins",337,71
1,"LKS",3,"Sergejs Volkovs",345,72
1,"LKS",4,"Valentīna Kudrjavceva",282,70
1,"LKS",5,"Deniss Ignatjevs",206,65
1,"LKS",6,"Ligita Sipko",212,71
1,"LKS",7,"Sergejs Konstantinovs",196,59
1,"LKS",8,"Viktors Ivančikovs",185,61
1,"LKS",9,"Nikolajs Starikovs",208,59
1,"LKS",10,"Olga Odincova",221,55
1,"LKS",11,"Jeļena Beskorovainaja",190,62
1,"LKS",12,"Jeļena Kuzņecova",195,64
1,"LKS",13,"Valentīna Tkača",170,62
1,"LKS",14,"Ludmila Martinova",175,64
1,"LKS",15,"Andrejs Zujevs",197,60
1,"LKS",16,"Tatjana Logačova",182,62
1,"LKS",17,"Boriss Dmitrijevs",192,55
2,"JKP",1,"Krišjānis Feldmans",3281,437
2,"JKP",2,"Sandis Riekstiņš",1836,760
2,"JKP",3,"Haralds Laidiņš",1138,630
2,"JKP",4,"Inita Nagņibeda",1214,835
2,"JKP",5,"Renārs Volkovs",945,610
2,"JKP",6,"Andis Kursītis",1071,481
2,"JKP",7,"Māris Freimanis",1138,481
2,"JKP",8,"Ivars Joelis",901,675
2,"JKP",9,"Igors Stepanovs",655,906
2,"JKP",10,"Artis Ramutis",730,542
2,"JKP",11,"Normunds Pildiņš",679,638
2,"JKP",12,"Inese Leoho-Čudare",925,600
2,"JKP",13,"Uldis Lejava",668,546
2,"JKP",14,"Edgars Andersons",716,532
2,"JKP",15,"Aivars Doļņikovs",549,658
2,"JKP",16,"Ingrīda Irša-Podkalne",707,698
2,"JKP",17,"Ilze Vanaga",1228,537
3,"Ricib",1,"Jeļena Pičoha",24,8
3,"Ricib",2,"Aivars Leitāns",19,8
3,"Ricib",3,"Edgars Simsons",13,8
3,"Ricib",4,"Ēvalds Bobovičs",11,9
3,"Ricib",5,"Roberts Bramanis",20,4
3,"Ricib",6,"Raimonds Saukums",14,5
3,"Ricib",7,"Irina Sirjatova",12,11
3,"Ricib",8,"Vilis Ivanovskis",8,12
4,"NA",1,"Edvīns Šnore",3875,827
4,"NA",2,"Imants Parādnieks",3384,2983
4,"NA",3,"Inguna Rībena",3002,1272
4,"NA",4,"Raitis Ābelnieks",1633,1034
4,"NA",5,"Guntis Libeks",1141,960
4,"NA",6,"Gundars Važa",1272,952
4,"NA",7,"Guntars Akmentiņš",930,971
4,"NA",8,"Anda Grīnfelde",885,875
4,"NA",9,"Aivars Okmanis",1062,997
4,"NA",10,"Normunds Pastars",950,853
4,"NA",11,"Mārtiņš Mediņš",1142,897
4,"NA",12,"Kaspars Ševčuks",579,1002
4,"NA",13,"Oskars Cīrulis",901,871
4,"NA",14,"Vilnis Švāns",836,947
4,"NA",15,"Jānis Krūmiņš",654,942
4,"NA",16,"Mārcis Elstiņš",525,960
4,"NA",17,"Edgars Gaigalis",876,912
5,"Progr",1,"Līga Rasnača",381,85
