"FullName","ShortName","Votes","Mps","Bnaudas","Ziedojumi","Ienemumi","Izdevumi"
"""Saskaņa"" sociāldemokrātiskā partija","Sask",167117,23,18484.54,295208.42,319262.06,818634.15
"Politiskā partija “KPV LV”","KPV",120264,16,7456.75,140990.66,148722.36,132072.07
"Jaunā konservatīvā partija","JKP",114694,16,16873.69,155090.76,171964.45,220544.46
"Attīstībai/Par!","A-PAR",101685,13,0,186528.63,463834.13,631583.06
"Nacionālā apvienība VL-TB/LNNK","NA",92963,13,3965,182784.2,213652.46,237831.32
"Zaļo un Zemnieku savienība","ZZS",83675,11,0,447888.32,619317.76,1081328.53
"Jaunā Vienotība","JV",56542,8,45230.02,279580.46,487712.08,506299.81
"Latvijas Reģionu Apvienība","LRA",35018,0,0,117356.85,128150.98,153238.44
"Latvijas Krievu savienība","LKS",27014,0,0,68552.61,70098.42,68174.76
"Progresīvie","Progr",22078,0,8650.48,59068.31,67618.79,63980.05
